SNo,Provinces,Name,Municipal sub-type,Population -2011,Population -2006,Change (%),Land area (km²),Population density (per km2),,,
272, Ontario,North Stormont,Township,"6,775","6,769",0.1,515.65,13.1,,,
273, Ontario,Northeastern Manitoulin and the Islands,Town,"2,706","2,711",?0.2,495.68,5.5,,,
274, Ontario,Northern Bruce Peninsula,Municipality,"3,744","3,850",?2.8,781.77,4.8,,,
275, Ontario,Norwich,Township,"10,721","10,481",2.3,431.28,24.9,,,
276, Ontario,Oakville,Town,"1,82,520","1,65,613",10.2,138.88,"1,314.20",,,
277, Ontario,O'Connor,Township,685,720,?4.9,108.65,6.3,,,
278, Ontario,Oil Springs,Village,704,717,?1.8,8.18,86.1,,,
279, Ontario,Oliver Paipoonge,Municipality,"5,732","5,757",?0.4,350.76,16.3,,,
280, Ontario,Opasatika,Township,214,280,?23.6,329.98,0.6,,,
281, Ontario,Orangeville,Town,"27,975","26,925",3.9,15.61,"1,791.60",,,
282, Ontario,Orillia,City,"30,586","30,259",1.1,28.61,"1,069.20",,,
283, Ontario,Oro-Medonte,Township,"20,078","20,031",0.2,586.9,34.2,,,
284, Ontario,Oshawa,City,"1,49,607","1,41,590",5.7,145.68,"1,027.00",,,
285, Ontario,Otonabee-South Monaghan,Township,"6,660","6,812",?2.2,347.58,19.2,,,
286, Ontario,Ottawa,City,"8,83,391","8,12,129",8.8,"2,790.22",316.6,,,
287, Ontario,Owen Sound,City,"21,688","21,753",?0.3,24.22,895.5,,,
288, Ontario,Papineau-Cameron,Township,978,"1,058",?7.6,566.74,1.7,,,
289, Ontario,Parry Sound,Town,"6,191","5,818",6.4,13.36,463.3,,,
290, Ontario,Pelee,Township,171,287,?40.4,41.79,4.1,,,
291, Ontario,Pelham,Town,"16,598","16,155",2.7,126.42,131.3,,,
292, Ontario,Pembroke,City,"14,360","13,930",3.1,14.35,"1,000.70",,,
293, Ontario,Penetanguishene,Town,"9,111","9,354",?2.6,25.57,356.4,,,
294, Ontario,Perry,Township,"2,317","2,010",15.3,187.25,12.4,,,
295, Ontario,Perth East,Township,"12,028","11,986",0.4,713.39,16.9,,,
296, Ontario,Perth South,Township,"3,993","4,132",?3.4,393.03,10.2,,,
297, Ontario,Perth,Town,"5,840","5,907",?1.1,12.25,476.7,,,
298, Ontario,Petawawa,Town,"15,988","14,651",9.1,164.68,97.1,,,
299, Ontario,Peterborough,City,"78,698","75,406",4.4,63.8,"1,233.60",,,
300, Ontario,Petrolia,Town,"5,528","5,222",5.9,12.68,435.8,,,
301, Ontario,Pickering,City,"88,721","87,838",1,231.59,383.1,,,
302, Ontario,Pickle Lake,Township,425,479,?11.3,255.08,1.7,,,
303, Ontario,Plummer Additional,Township,650,625,4,221.97,2.9,,,
304, Ontario,Plympton-Wyoming,Town,"7,576","7,506",0.9,318.76,23.8,,,
305, Ontario,Point Edward,Village,"2,034","2,019",0.7,3.27,622.8,,,
306, Ontario,Port Colborne,City,"18,424","18,599",?0.9,121.97,151.1,,,
307, Ontario,Port Hope,Municipality,"16,214","16,390",?1.1,279.03,58.1,,,
308, Ontario,Powassan,Municipality,"3,378","3,309",2.1,224.59,15,,,
309, Ontario,Prescott,Town,"4,284","4,180",2.5,4.95,865.3,,,
310, Ontario,Prince Edward,City,"25,258","25,496",?0.9,"1,050.45",24,,,
311, Ontario,Prince,Township,"1,031",971,6.2,85.31,12.1,,,
312, Ontario,Puslinch,Township,"7,029","6,689",5.1,214.61,32.8,,,
313, Ontario,Quinte West,City,"43,086","42,697",0.9,494.15,87.2,,,
314, Ontario,Rainy River,Town,842,909,?7.4,2.99,281.5,,,
315, Ontario,Ramara,Township,"9,275","9,427",?1.6,419.25,22.1,,,
316, Ontario,Red Lake,Municipality,"4,670","4,526",?3.5,610.38,7.2,,,
317, Ontario,Red Rock,Township,942,"1,063",?11.4,62.93,15,,,
318, Ontario,Renfrew,Town,"8,218","7,846",4.7,12.77,643.5,,,
319, Ontario,Richmond Hill,Town,"1,85,541","1,62,704",14,100.95,"1,838.00",,,
320, Ontario,Rideau Lakes,Township,"10,207","10,350",?1.4,729.09,14,,,
321, Ontario,Russell,Township,"15,247","13,883",9.8,199.06,76.6,,,
322, Ontario,Ryerson,Township,634,686,?7.6,188.07,3.4,,,
323, Ontario,Sables-Spanish Rivers,Township,"3,075","3,237",?5.0,815.8,3.8,,,
324, Ontario,Sarnia,City,"72,366","71,419",1.3,164.71,439.4,,,
325, Ontario,Saugeen Shores,Town,"12,661","11,720",8,170.97,74.1,,,
326, Ontario,Sault Ste. Marie,City,"75,141","74,948",0.3,223.26,336.6,,,
327, Ontario,Schreiber,Township,"1,126",901,25,36.79,30.6,,,
328, Ontario,Scugog,Township,"21,569","21,439",0.6,474.65,45.4,,,
329, Ontario,Seguin,Township,"3,988","4,276",?6.7,595.42,6.7,,,
330, Ontario,Selwyn,Township,"16,846","17,027",?1.1,315.64,53.4,,,
331, Ontario,Severn,Township,"12,377","12,030",2.9,549.9,22.5,,,
332, Ontario,Shelburne,Town,"5,846","5,149",13.5,6.44,907.1,,,
333, Ontario,Shuniah,Municipality,"2,737","2,913",?6.0,570.98,4.8,,,
334, Ontario,Sioux Lookout,Municipality,"5,037","5,183",?2.8,378.82,13.3,,,
335, Ontario,Sioux Narrows-Nestor Falls,Township,720,672,7.1,"1,222.43",0.6,,,
